gamename,pop,ip,agent,qtd,cluster,client_id
fra-hon,spomp,187.55.0.4,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,5294
cam-cro,riomp,177.40.148.239,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,5295
ira-nig,riomp,177.134.195.156,4991a63a755c0a1f2acd6ac162d06058945efe42,2,3,5296
ira-nig,riomp,177.182.105.5,4991a63a755c0a1f2acd6ac162d06058945efe42,2,3,5297
spa-chi,spomp,177.19.67.179,8dcf1a05006c34b97faa436acde455eaf8d6de29,2,3,5298
bel-usa,spomp,191.199.214.61,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,5299
mex-cam,riomp,200.149.90.95,9b04140eb5ba4a05fd355e215af2888fc5562b50,2,3,5300
ita-cri,spomp,179.99.204.185,d22811fa219408fd8598bf5f2374b81356f9d436,1,7,5301
aus-hol,riomp,177.98.112.106,894af19d7638770229799ae0b5cb49e0cc462309,2,6,5302
spa-hol,riomp,150.163.11.79,4991a63a755c0a1f2acd6ac162d06058945efe42,1,1,5303
sui-fra,riomp,187.126.214.198,59e0434987e8c97870d7f79e2174ad8c91933f48,1,1,5304
ger-por,riomp,200.165.18.244,dc135cc7a47568ea900ecd3b961a46f9dc3a15c8,3,3,5305
aus-spa_hol-chi,riomp,177.64.159.85,894af19d7638770229799ae0b5cb49e0cc462309,2,3,5306
spa-hol,riomp,179.235.72.55,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,5307
fra-ale,riomp,179.199.220.214,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,5308
rus-sko,spomp,200.206.8.226,b2990bfa9e15fd2cc5b915281845342748fdabae,1,1,5309
aus-hol,spomp,189.39.42.66,dc135cc7a47568ea900ecd3b961a46f9dc3a15c8,3,3,5310
sui-equ,riomp,189.5.145.236,67cb66448460490bdb5e08cda495b9874c4b6eff,1,1,5311
ger-por,spomp,201.6.181.86,4991a63a755c0a1f2acd6ac162d06058945efe42,3,3,5312
bra-cro,spomp,187.49.137.15,7be6ae00582ec845b076e0b33ae145ab62d13449,1,4,5313
mex-cam,spomp,201.68.90.130,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,1,7,5314
ger-por,spomp,177.136.227.110,92c78dee8df09a1013b1024de2b09dc4f360706a,1,4,5315
spa-hol,spomp,177.157.70.254,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,1,5316
uru-cri,spomp,177.41.85.122,894af19d7638770229799ae0b5cb49e0cc462309,2,3,5317
ger-gha,riomp,201.50.73.18,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,5318
bel-alg,riomp,179.222.117.219,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,5319
mex-cam,spomp,186.200.37.2,894af19d7638770229799ae0b5cb49e0cc462309,1,7,5320
cam-cro,spomp,177.21.255.90,490ac549c07c6d3819b7148d7abf1e6e6c83d06a,1,7,5321
sui-equ,riomp,179.218.46.46,cb060b016d74291d044195769b0b72a6e3fe94d3,1,1,5322
arg-bos,spomp,201.55.229.12,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,5323
arg-bos,riomp,186.214.255.217,c0236d31153b6421284a662ed5ad11fb2d50db0f,1,2,5324
spa-chi,spomp,189.50.154.207,894af19d7638770229799ae0b5cb49e0cc462309,1,7,5325
aus-spa_hol-chi,spomp,201.92.132.4,894af19d7638770229799ae0b5cb49e0cc462309,1,7,5326
bel-alg,spomp,201.22.55.137,894af19d7638770229799ae0b5cb49e0cc462309,3,6,5327
sui-equ,riomp,189.60.48.87,894af19d7638770229799ae0b5cb49e0cc462309,1,1,5328
hol-cri,spomp,187.53.89.152,6cf9d24f28249c5e37ee5aca0661dcfc6bf07ed7,1,5,5329
spa-hol,spomp,187.44.64.146,739498a121e4d70c036106975179a5b0319bda1c,1,4,5330
bel-alg,spomp,189.14.130.84,b2990bfa9e15fd2cc5b915281845342748fdabae,4,3,5331
arg-sui,riomp,179.185.95.169,726cc80fc4971c86570a638e7882a8a41fd953de,1,2,5332
uru-cri,spomp,187.121.82.101,8bc0ab73fa7f0980b3ed06301a25aaa6281eeacd,2,2,5333
