gamename,pop,ip,agent,qtd,cluster,client_id
mex-cam,spomp,200.144.155.135,1688905d6b7437cd5c01be0f30d0e90ddfacd5f8,3,3,2722
cam-cro,spomp,177.205.177.107,9b4510ded13c04094d3576666ccd0c8f1d173d54,1,7,2723
ger-por,riomp,187.78.215.149,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,2724
sui-fra,riomp,189.122.60.184,39af37d86a703ef1ca43a29654a6a561b2eaccc1,1,7,2725
col-mar,spomp,177.17.161.190,9b04140eb5ba4a05fd355e215af2888fc5562b50,1,1,2726
bra-mex,spomp,189.74.238.19,894af19d7638770229799ae0b5cb49e0cc462309,2,6,2727
jap-gre,spomp,177.138.98.117,72e119ab509aedb17a35d93e33c76a1d29abefbe,2,2,2728
cam-cro,spomp,177.81.58.162,c1950a2f2b250e6ce2e5da53c9d3059ace20b80c,4,2,2729
bra-mex,spomp,179.176.168.99,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,1,1,2730
cam-bra_cro-mex,riomp,179.211.228.183,dc135cc7a47568ea900ecd3b961a46f9dc3a15c8,3,3,2731
eng-ita,riomp,201.78.138.3,894af19d7638770229799ae0b5cb49e0cc462309,1,1,2732
spa-chi,spomp,177.220.160.204,1865487381cc6b698410956ac291b70af164acdc,3,3,2733
eng-ita,spomp,179.179.89.253,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,2734
ita-cri,spomp,177.110.194.249,a14c294e78da47b05b0f83156e6f72af0c4e26c1,1,2,2735
rus-sko,spomp,186.213.53.192,d5eb088783cef9ac353695c6997160f802cbb84f,1,2,2736
spa-hol,riomp,189.105.193.77,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,2737
mex-cam,riomp,186.215.223.178,894af19d7638770229799ae0b5cb49e0cc462309,1,4,2738
mex-cam,spomp,187.45.167.1,db4bbec5185e5437dc3fc95f62428c89106e469d,1,2,2739
spa-hol,spomp,187.106.124.202,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,2,3,2740
hol-arg,riomp,179.197.51.135,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,2741
jap-gre,riomp,179.232.39.238,1853ce43486c2cf1587487d8bec7f3e7cc5ec34e,1,2,2742
ira-nig,riomp,152.92.95.77,a9660bb0ff694424cb86b10498a28bebfb050c73,1,1,2743
spa-chi,riomp,200.149.120.232,cf98e727253d18abf96df7868826b06317413569,1,2,2744
aus-hol,riomp,191.247.228.53,7539e4ffea7a78af249d65d695f147542c75a11e,1,2,2745
ale-alg,spomp,187.32.103.153,5097e4c839efede2cbfc59881ece482236561a76,5,2,2746
spa-hol,riomp,200.247.45.2,e8d8fd74209cf056a34f1a1986f87bc12cde919a,5,3,2747
aus-spa_hol-chi,spomp,201.76.8.236,a9660bb0ff694424cb86b10498a28bebfb050c73,3,3,2748
fra-hon,riomp,201.51.11.251,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,2749
spa-hol,spomp,177.157.106.163,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,2750
hol-arg,riomp,177.109.99.125,922ff4c63a40b87455e063808a86cfd4880dbc96,2,2,2751
spa-hol,riomp,189.71.170.191,2aefe6a4a5b36b50c601c7faae293ebcc1633a52,1,4,2752
spa-hol,riomp,189.12.157.59,6e1c38356769095ad76267f9edb43ddae2af1491,2,3,2753
aus-hol,spomp,177.96.111.153,42c5d6a9cd00dc7a34fa70231ea4360f26c75906,1,7,2754
cam-cro,spomp,201.94.151.110,d2dcfe8e43db9a3abe7a31b69bebdb364a6bd40f,1,4,2755
aus-hol,spomp,177.19.232.206,6e1c38356769095ad76267f9edb43ddae2af1491,1,1,2756
spa-chi,riomp,179.185.28.194,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,7,2757
sui-fra,spomp,200.192.114.3,ae673b88a9a85c89f8e86d122fb0cae345e89777,1,2,2758
ger-por,spomp,189.41.159.214,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,2759
ger-por,riomp,150.162.235.22,8423bbf8406368d9044cf566ff3c8caa7fe5e3b0,2,3,2760
sui-fra,spomp,177.152.163.18,b2990bfa9e15fd2cc5b915281845342748fdabae,1,4,2761
sui-fra,spomp,187.37.184.45,b2990bfa9e15fd2cc5b915281845342748fdabae,2,6,2762
aus-spa_hol-chi,riomp,177.158.103.248,a14c294e78da47b05b0f83156e6f72af0c4e26c1,1,2,2763
ale-alg,spomp,179.176.21.244,75ff74783856c7470bc25b932173b77cceb3fbe6,3,2,2764
arg-bos,spomp,143.106.175.84,ab9c54ac76bc4d6f804129a0752278d0b0a788f2,1,7,2765
bel-rus,riomp,177.98.226.187,894af19d7638770229799ae0b5cb49e0cc462309,3,3,2766
usa-por,spomp,187.93.169.194,894af19d7638770229799ae0b5cb49e0cc462309,1,4,2767
ira-nig,riomp,177.17.113.94,894af19d7638770229799ae0b5cb49e0cc462309,3,3,2768
sko-alg,spomp,201.52.227.191,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,1,2769
aus-spa_hol-chi,spomp,189.100.133.20,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,2770
mex-cam,spomp,191.7.192.26,1688905d6b7437cd5c01be0f30d0e90ddfacd5f8,2,3,2771
aus-hol,riomp,177.17.76.149,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,2772
uru-ing,riomp,177.64.53.226,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,2773
ira-nig,riomp,179.177.25.7,2aefe6a4a5b36b50c601c7faae293ebcc1633a52,1,1,2774
uru-ing,spomp,177.148.212.22,9e24922baf620e8c5022012584eb45c0e53a0c0a,1,4,2775
rus-sko,spomp,177.81.46.7,894af19d7638770229799ae0b5cb49e0cc462309,2,3,2776
spa-chi,riomp,200.148.207.20,aa739e3aaaa1fbfc8667bb26120e9930df881a82,4,6,2777
bel-alg,riomp,177.98.57.20,5712c4fab1b859cf8f9e770715034fd4e69c6b7c,1,7,2778
ale-arg,spomp,187.85.175.3,922ff4c63a40b87455e063808a86cfd4880dbc96,3,2,2779
bra-mex,spomp,201.2.55.225,894af19d7638770229799ae0b5cb49e0cc462309,3,3,2780
spa-chi,spomp,186.215.140.106,dc135cc7a47568ea900ecd3b961a46f9dc3a15c8,2,3,2781
bra-mex,spomp,186.218.117.115,9b04140eb5ba4a05fd355e215af2888fc5562b50,2,3,2782
mex-cam,spomp,177.135.72.104,219460d9be7caff720d11a53a01f58926d706c0c,2,3,2783
fra-ale,spomp,179.129.224.33,4b4e7ff552142440214f219b752ac66fb32a30ea,2,2,2784
fra-ale,riomp,201.59.248.58,72e119ab509aedb17a35d93e33c76a1d29abefbe,2,2,2785
bra-mex,spomp,187.59.151.188,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,3,2786
arg-ira,spomp,177.148.164.45,0d36528b3738554dd0af17b1a7d950c99bc38d7c,3,6,2787
ger-por,riomp,201.8.66.120,7152592bfba74946b3b461b2847c762a13c9b610,1,2,2788
ita-cri,spomp,187.55.174.122,894af19d7638770229799ae0b5cb49e0cc462309,1,4,2789
ira-nig,riomp,179.222.84.169,894af19d7638770229799ae0b5cb49e0cc462309,1,4,2790
hol-arg,spomp,200.175.156.245,55efde50856b21f45aa4ea38a7358e8752aa9980,1,1,2791
ger-gha,riomp,200.165.168.241,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,2792
ger-por,spomp,189.33.162.172,894af19d7638770229799ae0b5cb49e0cc462309,2,3,2793
usa-ger_por-gha,spomp,201.40.39.215,9c5c7df5e14048c68ca27672d79518f3d0b8f728,1,2,2794
uru-ing,riomp,187.123.41.239,a9660bb0ff694424cb86b10498a28bebfb050c73,1,1,2795
aus-spa_hol-chi,spomp,187.7.38.230,42c0f3ec36c50316595b48f030ecd30631f7da5f,4,3,2796
gha-usa,riomp,179.158.137.25,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,2,6,2797
hol-mex,spomp,201.26.16.172,9e3ebf773a30f2d5c0ddbbdd009a0d666efeea8e,1,2,2798
aus-spa_hol-chi,riomp,189.2.242.2,55efde50856b21f45aa4ea38a7358e8752aa9980,1,7,2799
ita-cri,spomp,201.22.212.3,894af19d7638770229799ae0b5cb49e0cc462309,1,4,2800
cri-ing_ita-uru,spomp,187.108.75.6,aa739e3aaaa1fbfc8667bb26120e9930df881a82,1,4,2801
bel-alg,riomp,189.103.28.41,42c0f3ec36c50316595b48f030ecd30631f7da5f,4,3,2802
col-mar,riomp,187.114.198.199,1d7a5db3bfe0d67db519f4adb67fbd0a6fbae451,2,3,2803
arg-ira,riomp,189.123.254.159,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,3,2,2804
bra-cro,riomp,177.98.234.68,e5b3b8f84530231a2c2396d7d19436c468599e5d,3,2,2805
eng-ita,riomp,187.15.208.102,09eddba4d3c6edb19fb93854255cb64fba47394a,1,2,2806
ger-por,riomp,201.19.89.115,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,1,7,2807
ita-cri,riomp,201.79.33.123,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,3,2808
mex-cam,spomp,177.159.232.98,0afa2fb73646a64af178990e8b3c0267271fdb4a,3,6,2809
spa-hol,spomp,189.14.56.222,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,2810
fra-hon,riomp,189.6.107.230,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,2811
spa-hol,riomp,189.63.48.21,6179d9eb08e3093f2f81ca10728a7efffb2f61ac,5,3,2812
ger-por,spomp,177.40.113.73,2aefe6a4a5b36b50c601c7faae293ebcc1633a52,2,3,2813
gha-usa,spomp,186.215.147.50,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,2,6,2814
col-mar,spomp,201.92.62.139,72e119ab509aedb17a35d93e33c76a1d29abefbe,3,2,2815
ger-por,spomp,177.6.125.210,894af19d7638770229799ae0b5cb49e0cc462309,1,7,2816
spa-hol,spomp,201.52.1.68,c0236d31153b6421284a662ed5ad11fb2d50db0f,1,2,2817
spa-hol,spomp,187.121.29.176,850b723b0d6f223a19569cf18a0435fddb569589,1,1,2818
rus-sko,spomp,177.32.36.172,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,4,2819
gha-usa,riomp,189.93.96.70,2aefe6a4a5b36b50c601c7faae293ebcc1633a52,1,7,2820
spa-hol,spomp,177.158.145.215,55efde50856b21f45aa4ea38a7358e8752aa9980,1,1,2821
ira-nig,spomp,187.111.5.10,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,7,2822
ita-cri,riomp,177.157.78.34,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,2823
bel-alg,spomp,187.113.195.107,55efde50856b21f45aa4ea38a7358e8752aa9980,2,6,2824
bra-cro,riomp,186.213.206.127,37bdd4012d6928efb02528d6cb46db9af5f244f0,2,2,2825
spa-hol,spomp,179.253.179.208,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,1,7,2826
cam-bra_cro-mex,spomp,201.14.151.208,b9b345451d529ac59734d5fcff7b20dd2217cadd,1,1,2827
spa-chi,spomp,186.217.123.39,894af19d7638770229799ae0b5cb49e0cc462309,1,5,2828
ita-cri,riomp,186.250.157.100,bebfc2d8a9f5ed67a36e1cfa436c6a974b2ff213,2,3,2829
arg-bos,spomp,179.184.207.51,894af19d7638770229799ae0b5cb49e0cc462309,1,7,2830
spa-hol,riomp,179.187.42.78,894af19d7638770229799ae0b5cb49e0cc462309,2,3,2831
jap-gre,spomp,189.124.121.121,8a614a180dee2ffcf00b214c4f11df80de6070f9,1,2,2832
spa-hol,spomp,187.113.44.56,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,3,6,2833
eng-ita,spomp,177.22.99.142,894af19d7638770229799ae0b5cb49e0cc462309,6,3,2834
aus-spa_hol-chi,riomp,177.34.95.54,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,2835
gha-usa,riomp,177.131.242.26,894af19d7638770229799ae0b5cb49e0cc462309,1,4,2836
usa-ger_por-gha,riomp,189.55.117.249,c20724d579b48ce48b0856157faaaa7871bf02f0,2,2,2837
sui-fra,riomp,191.185.185.235,dc135cc7a47568ea900ecd3b961a46f9dc3a15c8,1,7,2838
bra-mex,riomp,201.53.151.71,894af19d7638770229799ae0b5cb49e0cc462309,1,1,2839
bra-mex,riomp,189.12.88.4,894af19d7638770229799ae0b5cb49e0cc462309,1,1,2840
ger-por,spomp,201.55.125.40,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,2841
bra-mex,spomp,200.153.253.14,4333488ba798b74ec37051100efa275682d92d1c,1,2,2842
hol-cri,riomp,177.59.38.20,8a56767dccf0081b1ef611bca52a59e371f28c8e,1,2,2843
bra-col,spomp,177.6.54.35,38ff28a4cc45b6f0c668ca5b8aea29d0315d5c4d,1,4,2844
ira-nig,riomp,179.158.140.152,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,2845
bra-mex,spomp,186.231.58.135,e8d8fd74209cf056a34f1a1986f87bc12cde919a,2,6,2846
ita-cri,riomp,187.63.4.204,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,2847
col-uru,riomp,189.32.146.183,6a1661efe3c936b49a6eb0b7dfec8b1990904244,1,1,2848
eng-ita,riomp,189.106.236.57,a9660bb0ff694424cb86b10498a28bebfb050c73,1,1,2849
fra-hon,spomp,201.83.172.75,894af19d7638770229799ae0b5cb49e0cc462309,1,1,2850
ira-nig,riomp,201.9.60.189,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,2851
aus-hol,riomp,177.177.74.48,894af19d7638770229799ae0b5cb49e0cc462309,1,4,2852
cam-cro,riomp,177.80.76.86,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,2,3,2853
cam-bra_cro-mex,riomp,189.104.107.200,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,2854
sui-fra,spomp,177.18.225.82,9b04140eb5ba4a05fd355e215af2888fc5562b50,3,6,2855
col-uru,riomp,177.180.150.162,6c125df8ea53efe217ef2cafba93beb02c6f661c,1,2,2856
usa-por,riomp,177.104.64.235,894af19d7638770229799ae0b5cb49e0cc462309,1,4,2857
spa-hol,spomp,186.195.196.10,d2578374f014d9a357f9fa9e918ca2db0ff420f5,2,3,2858
ger-por,spomp,187.104.70.219,a9660bb0ff694424cb86b10498a28bebfb050c73,1,5,2859
hol-mex,riomp,179.199.16.85,edd71802b12c7171623f7c88c0093d8887e42f21,1,2,2860
col-uru,riomp,189.67.124.67,8a56767dccf0081b1ef611bca52a59e371f28c8e,1,2,2861
usa-por,spomp,177.5.21.98,b2990bfa9e15fd2cc5b915281845342748fdabae,1,4,2862
mar-jap,riomp,179.174.45.28,72e119ab509aedb17a35d93e33c76a1d29abefbe,1,2,2863
hol-cri,riomp,191.247.226.163,7ea6ef1baf3b27586d892211a2792003f581e03a,1,2,2864
mex-cam,riomp,187.36.194.113,1688905d6b7437cd5c01be0f30d0e90ddfacd5f8,1,1,2865
spa-hol,riomp,201.64.123.178,4991a63a755c0a1f2acd6ac162d06058945efe42,2,3,2866
spa-hol,spomp,187.58.7.15,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,2867
ira-nig,spomp,200.19.200.174,485294a239ce8b0ba90a6eec0ff1c5f7cee012b3,2,3,2868
hol-mex,riomp,179.200.165.215,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,2869
aus-spa_hol-chi,spomp,177.156.96.151,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,2870
bra-cro,riomp,189.1.136.35,186a3852a02878f6088d760d9e6bfd97bcfac9a9,6,2,2871
sui-fra,spomp,179.111.126.63,894af19d7638770229799ae0b5cb49e0cc462309,4,3,2872
bel-usa,spomp,177.139.133.224,ae673b88a9a85c89f8e86d122fb0cae345e89777,1,2,2873
sko-alg,spomp,189.121.28.179,894af19d7638770229799ae0b5cb49e0cc462309,2,6,2874
ger-por,riomp,177.97.33.30,a9660bb0ff694424cb86b10498a28bebfb050c73,1,5,2875
ira-nig,spomp,189.75.8.26,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,2876
col-mar,spomp,177.72.105.7,894af19d7638770229799ae0b5cb49e0cc462309,1,7,2877
uru-cri,spomp,177.202.8.0,894af19d7638770229799ae0b5cb49e0cc462309,1,7,2878
sko-alg,spomp,150.164.3.164,08d8d3a0d2128fef951b0c360acd16f7cb3a32d6,13,6,2879
ger-por,spomp,201.52.84.12,c0236d31153b6421284a662ed5ad11fb2d50db0f,1,2,2880
bra-mex,spomp,105.174.0.26,6a1661efe3c936b49a6eb0b7dfec8b1990904244,1,7,2881
cam-cro,spomp,177.170.244.205,173d610c92a6de84b8c0977df2f3d4282d6819c4,1,2,2882
spa-hol,riomp,200.201.27.132,4991a63a755c0a1f2acd6ac162d06058945efe42,1,4,2883
fra-hon,riomp,186.244.184.109,4991a63a755c0a1f2acd6ac162d06058945efe42,1,1,2884
uru-cri,riomp,189.122.37.218,a9660bb0ff694424cb86b10498a28bebfb050c73,3,6,2885
ger-por,spomp,177.148.144.106,4991a63a755c0a1f2acd6ac162d06058945efe42,1,5,2886
spa-chi,spomp,189.73.236.241,55efde50856b21f45aa4ea38a7358e8752aa9980,2,3,2887
arg-ira,spomp,177.9.113.94,894af19d7638770229799ae0b5cb49e0cc462309,1,7,2888
arg-ira,spomp,177.96.40.101,894af19d7638770229799ae0b5cb49e0cc462309,3,6,2889
aus-spa_hol-chi,spomp,200.206.143.250,5384a8df7b1724880dcd2196684de136282c1954,1,2,2890
bra-mex,riomp,191.247.231.149,ae673b88a9a85c89f8e86d122fb0cae345e89777,1,2,2891
aus-spa_hol-chi,spomp,187.38.149.249,894af19d7638770229799ae0b5cb49e0cc462309,2,3,2892
col-gre,spomp,187.35.247.141,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,1,2,2893
bra-mex,riomp,177.192.209.106,894af19d7638770229799ae0b5cb49e0cc462309,2,6,2894
ira-nig,riomp,201.79.135.179,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,2895
hon-equ,riomp,201.80.80.99,894af19d7638770229799ae0b5cb49e0cc462309,1,7,2896
bra-mex,spomp,186.217.45.169,4991a63a755c0a1f2acd6ac162d06058945efe42,2,6,2897
cam-cro,spomp,177.101.106.47,894af19d7638770229799ae0b5cb49e0cc462309,1,7,2898
aus-hol,spomp,200.233.161.199,ae673b88a9a85c89f8e86d122fb0cae345e89777,2,2,2899
aus-spa_hol-chi,riomp,189.83.52.187,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,2900
aus-hol,riomp,186.195.82.1,1688905d6b7437cd5c01be0f30d0e90ddfacd5f8,1,5,2901
gha-usa,riomp,187.13.225.4,9014a62f5518ee40d2575bba6a03bc7d4561bab8,2,2,2902
cam-bra_cro-mex,spomp,177.159.24.228,b2990bfa9e15fd2cc5b915281845342748fdabae,1,1,2903
sui-fra,riomp,201.79.57.70,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,1,1,2904
spa-chi,spomp,187.18.106.9,63dd8d223934fda768c1d5a474d323012c28c6a4,2,3,2905
eng-ita,riomp,191.191.32.200,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,1,7,2906
bra-mex,spomp,191.204.208.28,9195ba36e8d1e7c83028d47a3177e70d34baa633,1,2,2907
aus-hol,spomp,177.203.18.163,ae673b88a9a85c89f8e86d122fb0cae345e89777,1,2,2908
bra-mex,spomp,187.52.39.165,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,2909
ger-por,riomp,179.185.107.174,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,5,2910
mar-jap,riomp,200.179.90.252,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,2911
usa-por,spomp,177.42.59.168,894af19d7638770229799ae0b5cb49e0cc462309,3,6,2912
bra-mex,riomp,200.221.145.22,cdc1ee33665b7784bf82a2c3e2d48f8db2743061,3,6,2913
mex-cam,riomp,179.183.177.85,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,2914
hon-equ,riomp,191.247.231.35,254239468c964cab9f6716bf1d9631697df5e69e,1,2,2915
hon-equ,spomp,187.94.196.56,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,2916
ita-cri,riomp,177.134.252.235,894af19d7638770229799ae0b5cb49e0cc462309,1,4,2917
uru-cri,riomp,179.217.192.16,4991a63a755c0a1f2acd6ac162d06058945efe42,1,7,2918
bra-cro,spomp,187.54.205.223,4991a63a755c0a1f2acd6ac162d06058945efe42,1,7,2919
mex-cam,spomp,201.91.210.106,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,2920
ger-por,riomp,200.97.23.155,219460d9be7caff720d11a53a01f58926d706c0c,1,7,2921
fra-nig,riomp,179.214.214.172,2d08e40b2f19faf50d59ed3851bbc5117e0c8ab6,2,2,2922
chi-aus,spomp,177.32.45.31,c0236d31153b6421284a662ed5ad11fb2d50db0f,1,2,2923
ger-por,spomp,187.37.212.187,fcd0be4a6029b4751178c9e09eb82b9c2d4346ff,1,5,2924
bel-alg,riomp,179.213.110.151,a9660bb0ff694424cb86b10498a28bebfb050c73,3,6,2925
aus-spa_hol-chi,spomp,179.84.1.69,a14c294e78da47b05b0f83156e6f72af0c4e26c1,2,2,2926
ira-nig,riomp,177.96.219.249,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,2927
chi-aus,riomp,200.237.250.48,122b98c0e6ea3a4d83d703b793a953b718c24c50,1,2,2928
fra-hon,riomp,186.213.216.111,e8d8fd74209cf056a34f1a1986f87bc12cde919a,1,1,2929
cam-cro,riomp,201.29.199.219,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,7,2930
ger-por,spomp,177.205.180.19,a9660bb0ff694424cb86b10498a28bebfb050c73,2,3,2931
spa-chi,riomp,177.97.214.83,b8364c7242faf5cb4b73e53af94657711547701e,2,3,2932
mex-cam,spomp,186.226.157.42,bea6daff1f8b840b424cbd54635b553979db80e0,1,4,2933
cam-bra_cro-mex,spomp,177.95.145.89,2dcf1dc39737c6f8bd986686dff80cb99839ec78,4,6,2934
eng-ita,riomp,187.23.13.120,894af19d7638770229799ae0b5cb49e0cc462309,2,3,2935
ira-nig,spomp,179.252.196.220,f9fca311131ffc5ea3e52eb4a7eefdc7e978549e,1,2,2936
spa-chi,riomp,189.126.24.135,894af19d7638770229799ae0b5cb49e0cc462309,1,5,2937
bel-alg,riomp,177.75.40.106,894af19d7638770229799ae0b5cb49e0cc462309,4,6,2938
arg-ira,riomp,177.17.72.62,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,2939
gha-usa,spomp,177.156.41.209,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,6,6,2940
sui-fra,riomp,187.123.183.177,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,6,2941
bra-mex,spomp,177.159.166.214,2dcf1dc39737c6f8bd986686dff80cb99839ec78,2,6,2942
spa-chi,riomp,177.97.199.172,b2990bfa9e15fd2cc5b915281845342748fdabae,2,3,2943
hon-equ,riomp,187.58.103.59,58fef24631a67e5545ab7438f3af62f5f1fb7667,2,2,2944
aus-spa_hol-chi,riomp,200.141.235.69,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,4,6,2945
aus-spa_hol-chi,spomp,200.96.102.93,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,2946
hol-mex,riomp,186.207.244.177,09eddba4d3c6edb19fb93854255cb64fba47394a,2,2,2947
arg-sui,spomp,191.58.95.3,0b2f5044160edbe985e59616f3a20d7c54cba7a0,1,2,2948
spa-chi,riomp,200.217.110.2,b2990bfa9e15fd2cc5b915281845342748fdabae,1,5,2949
ger-por,riomp,187.67.119.80,42c0f3ec36c50316595b48f030ecd30631f7da5f,2,3,2950
usa-ger_por-gha,spomp,177.162.10.23,950b26029874ac4e0937011be6d5e6fae0c0911b,1,2,2951
bra-mex,spomp,189.125.103.98,08d8d3a0d2128fef951b0c360acd16f7cb3a32d6,2,6,2952
arg-sui,spomp,189.117.168.236,254239468c964cab9f6716bf1d9631697df5e69e,1,2,2953
mar-jap,spomp,177.191.17.231,ae673b88a9a85c89f8e86d122fb0cae345e89777,1,2,2954
bra-hol,spomp,177.214.35.179,4b4e7ff552142440214f219b752ac66fb32a30ea,2,2,2955
aus-spa_hol-chi,spomp,191.178.230.170,b2990bfa9e15fd2cc5b915281845342748fdabae,1,1,2956
hon-equ,spomp,179.99.241.161,894af19d7638770229799ae0b5cb49e0cc462309,2,3,2957
mar-jap,spomp,189.18.108.21,f649355a73758feaed760693a196c77573763a51,1,5,2958
aus-hol,riomp,189.87.159.25,0a58b7796d5f7ca4ac98911c79dc11c4eb31aae1,1,7,2959
col-mar,spomp,189.115.0.26,894af19d7638770229799ae0b5cb49e0cc462309,1,1,2960
ira-nig,riomp,187.102.161.254,5ef0da8271cf4bfe25211ac9ec6b540544177146,2,3,2961
ger-gha,riomp,186.247.149.18,2307265f90098b359841da55a913ea329447e5fb,1,4,2962
fra-hon,riomp,179.186.101.57,894af19d7638770229799ae0b5cb49e0cc462309,3,6,2963
ira-nig,riomp,187.78.36.109,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,2964
spa-hol,spomp,189.59.60.173,e8d8fd74209cf056a34f1a1986f87bc12cde919a,2,6,2965
spa-hol,riomp,177.195.105.238,cb060b016d74291d044195769b0b72a6e3fe94d3,1,7,2966
col-mar,spomp,179.99.217.201,894af19d7638770229799ae0b5cb49e0cc462309,1,1,2967
spa-hol,spomp,186.209.36.130,09eddba4d3c6edb19fb93854255cb64fba47394a,1,2,2968
jap-gre,riomp,179.187.191.101,f71ce5612775f74c3b446bccf5ed7faf144b51ab,1,4,2969
cam-cro,riomp,189.24.42.132,dc135cc7a47568ea900ecd3b961a46f9dc3a15c8,1,7,2970
mex-cam,spomp,200.175.252.113,b2990bfa9e15fd2cc5b915281845342748fdabae,1,1,2971
ger-por,riomp,187.26.144.229,42c0f3ec36c50316595b48f030ecd30631f7da5f,3,3,2972
usa-por,spomp,177.10.125.169,70d6ff4684ff0d151a74c1cb8ea42741d178f81c,3,3,2973
aus-spa_hol-chi,spomp,177.92.50.142,b2990bfa9e15fd2cc5b915281845342748fdabae,1,1,2974
usa-por,spomp,177.188.17.33,a9660bb0ff694424cb86b10498a28bebfb050c73,1,1,2975
spa-chi,riomp,179.236.5.138,894af19d7638770229799ae0b5cb49e0cc462309,1,7,2976
aus-spa_hol-chi,spomp,177.19.134.82,b2990bfa9e15fd2cc5b915281845342748fdabae,1,7,2977
ira-nig,riomp,177.42.94.131,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,1,2978
aus-spa_hol-chi,spomp,189.58.165.106,219460d9be7caff720d11a53a01f58926d706c0c,1,1,2979
bra-mex,spomp,179.187.94.94,a9660bb0ff694424cb86b10498a28bebfb050c73,2,6,2980
hol-cri,spomp,187.37.99.121,4b4e7ff552142440214f219b752ac66fb32a30ea,1,2,2981
ale-arg,riomp,191.247.228.151,8a56767dccf0081b1ef611bca52a59e371f28c8e,4,2,2982
sui-fra,spomp,177.96.123.232,894af19d7638770229799ae0b5cb49e0cc462309,2,6,2983
bra-cro,spomp,177.19.189.93,a6e663dd189b52aeccfd864dc1bdda9e154c87b9,1,1,2984
spa-hol,spomp,200.203.11.118,38603bb00d1ec09f77f331dc60e73ffc723ef276,1,7,2985
cam-cro,riomp,177.98.85.9,42c0f3ec36c50316595b48f030ecd30631f7da5f,1,4,2986
spa-chi,spomp,187.121.83.65,ab9c54ac76bc4d6f804129a0752278d0b0a788f2,1,7,2987
bra-cro,spomp,152.246.138.12,d7f2e3eb6aca7660e9bfcee7c6e5813f5b6ca055,1,7,2988
